area_mean_px,area_median_px,aspect_ratio_mean,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,ecc_mean,ecc_median,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
386.3,383.0,1.2379,0.024,127,431.8,118.2,127.3,1.1809,0.1668,0.543,0.5253,IMG_5261.jpg,113.6,294137,0.973,322.6,1100,cellpose,0.688,825
286.8,265.0,1.3203,0.061,49,165.5,143.3,106.5,1.0574,0.0475,0.5871,0.6093,IMG_5262.jpg,108.7,296025,0.973,323.9,1100,cellpose,0.688,825
350.5,325.0,1.3879,0.073,55,188.2,125.5,112.6,1.0224,0.066,0.6226,0.6362,IMG_5263.jpg,104.6,292201,0.972,321.5,1100,cellpose,0.688,825
396.8,384.0,1.2681,0.014,141,482.5,119.0,129.9,1.1241,0.1915,0.5629,0.5512,IMG_5264.jpg,128.1,292201,0.973,321.3,1100,cellpose,0.688,825
384.1,378.0,1.2637,0.021,95,320.9,128.8,112.3,1.1024,0.1233,0.5603,0.5604,IMG_5265.jpg,123.0,296025,0.974,323.3,1100,cellpose,0.688,825
312.5,271.0,1.2854,0.0,19,65.9,148.4,108.2,0.8201,0.0206,0.5728,0.5258,IMG_5274.jpg,74.0,288413,0.981,319.8,1100,cellpose,0.688,825
438.5,449.0,1.2337,0.0,52,180.3,122.2,132.9,0.9276,0.0791,0.5492,0.5638,IMG_5275.jpg,81.7,288413,0.98,319.4,1100,cellpose,0.688,825
395.3,415.0,1.1841,0.0,31,107.5,128.5,123.9,0.9285,0.0425,0.4832,0.4743,IMG_5276.jpg,78.0,288413,0.983,319.6,1100,cellpose,0.688,825
462.9,447.5,1.2545,0.0,70,242.7,114.8,139.2,1.0521,0.1123,0.5731,0.582,IMG_5277.jpg,85.3,288413,0.968,319.8,1100,cellpose,0.688,825
487.3,450.0,1.3092,0.022,92,316.9,113.1,142.2,1.1455,0.1544,0.6103,0.6176,IMG_5278.jpg,86.2,290273,0.975,320.5,1100,cellpose,0.688,825
469.9,449.0,1.2405,0.013,79,275.8,116.8,132.3,1.037,0.1296,0.5498,0.5449,IMG_5279.jpg,92.0,286453,0.977,318.9,1100,cellpose,0.688,825
337.1,283.0,1.4004,0.119,67,233.9,126.3,116.1,0.9489,0.0788,0.6472,0.6733,IMG_5280.jpg,98.7,286453,0.977,318.9,1100,cellpose,0.688,825
363.6,347.0,1.4022,0.113,53,185.0,126.5,113.1,1.0181,0.0673,0.6398,0.6533,IMG_5281.jpg,90.6,286453,0.974,318.0,1100,cellpose,0.688,825
472.2,490.0,1.203,0.029,69,237.7,127.9,117.0,1.0615,0.1123,0.4961,0.5052,IMG_5282.jpg,87.9,290273,0.982,320.4,1100,cellpose,0.688,825
430.2,422.0,1.1522,0.0,86,298.2,116.2,131.1,1.1216,0.1283,0.4651,0.4689,IMG_5283.jpg,97.7,288413,0.976,319.5,1100,cellpose,0.688,825
419.4,413.0,1.1932,0.013,76,263.5,123.9,117.8,1.13,0.1105,0.5054,0.5079,IMG_5284.jpg,98.4,288413,0.978,319.3,1100,cellpose,0.688,825
