area_mean_px,area_median_px,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
573.3,572.0,0.0,44,149.6,108.9,146.3,1.0806,0.0858,IMG_5117.jpg,69.1,294137,0.976,323.1,1100,cellpose,0.688,825
414.8,414.0,0.029,103,350.2,123.9,122.3,1.105,0.1453,IMG_5118.jpg,85.0,294137,0.983,322.9,1100,cellpose,0.688,825
388.0,378.0,0.018,111,372.5,125.5,116.3,1.1506,0.1446,IMG_5119.jpg,86.0,297965,0.98,324.7,1100,cellpose,0.688,825
517.6,501.0,0.0,55,187.0,109.1,145.8,1.1276,0.0968,IMG_5120.jpg,67.4,294137,0.976,322.6,1100,cellpose,0.688,825
409.8,404.5,0.041,146,496.4,129.1,110.7,1.2629,0.2034,IMG_5143.jpg,114.2,294137,0.977,322.8,1100,cellpose,0.688,825
650.5,662.5,0.041,74,251.6,114.2,134.3,1.2049,0.1637,IMG_5144.jpg,76.4,294137,0.977,323.1,1100,cellpose,0.688,825
427.4,425.5,0.0,54,183.6,121.2,124.2,0.9585,0.0785,IMG_5145.jpg,73.1,294137,0.988,322.2,1100,cellpose,0.688,825
441.3,442.0,0.023,43,147.2,118.4,130.4,1.0566,0.0649,IMG_5146.jpg,77.3,292201,0.986,321.9,1100,cellpose,0.688,825
477.5,459.0,0.0,84,289.4,106.0,152.6,1.2029,0.1382,IMG_5147.jpg,87.5,290273,0.982,320.5,1100,cellpose,0.688,825
450.3,453.5,0.024,82,284.3,117.2,128.6,1.0907,0.128,IMG_5148.jpg,74.3,288413,0.984,319.3,1100,cellpose,0.688,825
628.0,630.0,0.0,65,225.4,102.8,154.5,1.1763,0.1415,IMG_5149.jpg,72.4,288413,0.975,319.8,1100,cellpose,0.688,825
481.3,474.0,0.0,67,232.3,108.4,149.6,1.0322,0.1118,IMG_5150.jpg,84.3,288413,0.985,319.4,1100,cellpose,0.688,825
482.6,458.0,0.019,52,179.1,115.5,135.1,1.0532,0.0865,IMG_5151.jpg,76.2,290273,0.987,320.2,1100,cellpose,0.688,825
369.6,290.0,0.028,36,124.0,126.9,122.6,0.7445,0.0458,IMG_5152.jpg,70.4,290273,0.983,320.4,1100,cellpose,0.688,825
601.7,586.0,0.0,21,71.9,103.3,158.1,1.0025,0.0432,IMG_5153.jpg,55.0,292201,0.984,321.6,1100,cellpose,0.688,825
264.8,257.0,0.019,317,1287.3,148.1,110.9,1.4774,0.3409,IMG_5154.jpg,64.8,246253,0.963,295.1,1100,cellpose,0.688,825
404.7,404.0,0.069,173,592.1,118.0,114.7,1.2925,0.2396,IMG_5155.jpg,133.1,292201,0.974,321.7,1100,cellpose,0.688,825
340.6,314.0,0.058,103,354.8,125.7,113.8,1.1578,0.1208,IMG_5156.jpg,113.0,290273,0.968,321.0,1100,cellpose,0.688,825
251.6,243.0,0.02,345,1431.5,133.8,114.4,1.5018,0.3602,IMG_5157.jpg,56.5,241009,0.963,291.8,1100,cellpose,0.688,825
360.7,350.5,0.038,210,877.6,119.2,118.3,1.34,0.3166,IMG_5158.jpg,106.1,239277,0.975,291.3,1100,cellpose,0.688,825
403.1,394.0,0.03,236,823.9,112.8,123.3,1.4691,0.3321,IMG_5159.jpg,112.6,286453,0.976,318.2,1100,cellpose,0.688,825
378.3,379.0,0.012,243,837.1,116.0,121.0,1.4343,0.3167,IMG_5160.jpg,136.3,290273,0.978,320.6,1100,cellpose,0.688,825
385.6,386.0,0.014,209,715.3,117.7,119.7,1.328,0.2758,IMG_5161.jpg,142.0,292201,0.976,321.7,1100,cellpose,0.688,825
455.4,451.5,0.013,380,1309.1,119.8,121.2,1.6453,0.5962,IMG_5162.jpg,161.7,290273,0.976,320.3,1100,cellpose,0.688,825
477.3,473.5,0.019,372,1281.6,122.8,118.3,1.6422,0.6117,IMG_5163.jpg,161.6,290273,0.975,320.6,1100,cellpose,0.688,825
401.4,393.0,0.011,351,1193.3,122.7,112.0,1.5909,0.479,IMG_5164.jpg,169.5,294137,0.974,322.3,1100,cellpose,0.688,825
394.3,389.0,0.011,350,1221.8,124.7,110.4,1.5759,0.4817,IMG_5165.jpg,176.9,286453,0.973,318.2,1100,cellpose,0.688,825
407.6,403.0,0.016,428,1484.0,123.7,112.5,1.6686,0.6049,IMG_5166.jpg,181.2,288413,0.978,319.5,1100,cellpose,0.688,825
394.2,393.0,0.019,216,739.2,121.6,114.9,1.4168,0.2914,IMG_5190.jpg,146.1,292201,0.974,321.1,1100,cellpose,0.688,825
409.1,404.5,0.008,384,1305.5,129.3,108.9,1.6332,0.5341,IMG_5191.jpg,161.0,294137,0.975,323.0,1100,cellpose,0.688,825
402.8,394.0,0.009,437,1505.5,126.3,113.6,1.6896,0.6064,IMG_5192.jpg,178.5,290273,0.979,320.8,1100,cellpose,0.688,825
404.3,397.0,0.014,291,989.3,123.4,114.5,1.5146,0.3999,IMG_5193.jpg,136.1,294137,0.977,322.7,1100,cellpose,0.688,825
398.8,389.0,0.006,327,1126.5,125.9,111.9,1.5862,0.4493,IMG_5194.jpg,153.6,290273,0.975,320.9,1100,cellpose,0.688,825
